,0,1,2,3,4,5,6,7,8,9,10,11
129,130,Cameron BROWN (#52),04:52:18,"NZL
																							|","25-29
(20)","Male 
													(115)",00:31:13,00:05:35,02:28:37,00:01:51,01:45:00,
130,131,Bram DE BOECK (#674),04:52:23,"NZL
																							|","35-39
(19)","Male 
													(116)",00:33:57,00:05:59,02:27:41,00:01:20,01:43:24,
131,132,Krystle HOCKLEY (#29),04:52:30,"AUS
																							|","Pro
(11)","Female 
													(16)",00:31:22,00:05:12,02:32:49,00:01:41,01:41:25,
132,133,Damon CLARK (#103),04:52:37,"NZL
																							|","40-44
(15)","Male 
													(117)",00:32:15,00:06:02,02:31:41,00:01:38,01:41:00,
133,134,Paul WORROLL (#71),04:52:40,"AUS
																							|","50-54
(9)","Male 
													(118)",00:30:00,00:05:43,02:34:18,00:01:19,01:41:18,
134,135,Mark BLAKE (#209),04:53:26,"AUS
																							|","50-54
(10)","Male 
													(119)",00:28:35,00:05:45,02:38:15,00:02:25,01:38:23,
135,136,Kris MILNE (#1190),04:53:36,"NZL
																							|","50-54
(11)","Male 
													(120)",00:28:55,00:04:57,02:36:05,00:01:23,01:42:14,
136,137,Jules TROTTER (#58),04:53:36,"AUS
																							|","30-34
(3)","Female 
													(17)",00:29:54,00:05:46,02:37:08,00:01:43,01:39:03,
137,138,Adam HAZLETT (#827),04:53:41,"NZL
																							|","40-44
(16)","Male 
													(121)",00:30:09,00:04:45,02:28:33,00:01:36,01:48:35,
138,139,Wayne ROSS (#1200),04:53:48,"NZL
																							|","50-54
(12)","Male 
													(122)",00:32:55,00:05:43,02:32:02,00:01:13,01:41:54,
139,140,Ethan GILLESPIE (#292),04:53:58,"NZL
																							|","18-24
(14)","Male 
													(123)",00:28:48,00:04:25,02:35:47,00:01:17,01:43:38,
140,141,Scotty YANG (#849),04:54:09,"NZL
																							|","40-44
(17)","Male 
													(124)",00:33:20,00:05:22,02:33:07,00:01:43,01:40:35,
141,142,Brendon TIPPING (#862),04:54:19,"NZL
																							|","40-44
(18)","Male 
													(125)",00:29:44,00:06:36,02:30:53,00:02:06,01:44:58,
142,143,Holly GRICE (#28),04:54:22,"AUS
																							|","Pro
(12)","Female 
													(18)",00:26:42,00:04:15,02:36:57,00:01:45,01:44:42,
143,144,Gavin HOLLEY (#1263),04:54:23,"NZL
																							|","50-54
(13)","Male 
													(126)",00:29:48,00:06:32,02:32:44,00:02:00,01:43:16,
144,145,Ben TWYMAN (#436),04:54:38,"NZL
																							|","25-29
(21)","Male 
													(127)",00:38:18,00:05:57,02:44:45,00:01:35,01:24:01,
145,146,Warwick TUFFNELL (#1038),04:54:51,"NZL
																							|","45-49
(11)","Male 
													(128)",00:34:10,00:05:11,02:32:18,00:02:14,01:40:57,
146,147,Sam KETTLE (#421),04:55:05,"NZL
																							|","25-29
(22)","Male 
													(129)",00:27:14,00:05:10,02:37:32,00:01:12,01:43:55,
147,148,Chris LEECH (#1096),04:55:10,"NZL
																							|","45-49
(12)","Male 
													(130)",00:31:55,00:05:04,02:32:44,00:01:33,01:43:52,
148,149,Michael WOODCOCK (#1015),04:55:12,"AUS
																							|","45-49
(13)","Male 
													(131)",00:32:19,00:05:19,02:30:33,00:01:21,01:45:38,
149,150,Paul HOGAN (#560),04:55:23,"IRL
																							|","30-34
(19)","Male 
													(132)",00:35:56,00:06:16,02:34:41,00:02:00,01:36:29,
150,151,Neil MILLAR (#1022),04:55:24,"NZL
																							|","45-49
(14)","Male 
													(133)",00:33:06,00:04:44,02:32:09,00:01:21,01:44:01,
151,152,Malcolm TWEED (#136),04:55:26,"NZL
																							|","60-64
(2)","Male 
													(134)",00:32:10,00:05:41,02:32:29,00:03:34,01:41:30,
152,153,Sam SHARP (#366),04:55:38,"NZL
																							|","25-29
(23)","Male 
													(135)",00:29:30,00:07:02,02:39:38,00:02:05,01:37:21,
153,154,Mike SWETMAN (#1014),04:55:45,"NZL
																							|","45-49
(15)","Male 
													(136)",00:33:47,00:04:55,02:34:36,00:01:27,01:40:58,
154,155,Richie LAMBERT (#901),04:55:48,"NZL
																							|","40-44
(19)","Male 
													(137)",00:30:50,00:05:31,02:36:47,00:02:20,01:40:18,
155,156,Sam FISHER (#378),04:55:53,"NZL
																							|","25-29
(24)","Male 
													(138)",00:28:58,00:06:02,02:27:33,00:01:16,01:52:03,
156,157,Garren ESPIN (#559),04:56:11,"NZL
																							|","30-34
(20)","Male 
													(139)",00:34:46,00:06:05,02:31:56,00:01:20,01:42:02,
157,158,Jason DOBSON (#358),04:56:12,"NZL
																							|","25-29
(25)","Male 
													(140)",00:31:32,00:06:25,02:31:44,00:02:11,01:44:17,
158,159,Sarah MORRISON (#989),04:56:13,"NZL
																							|","40-44
(1)","Female 
													(19)",00:33:58,00:07:11,02:30:05,00:03:27,01:41:30,
159,160,Narf TARU (#1057),04:57:04,"NZL
																							|","45-49
(16)","Male 
													(141)",00:34:15,00:05:33,02:25:25,00:01:28,01:50:20,
160,161,Karl WHITE (#122),04:57:14,"NZL
																							|","50-54
(14)","Male 
													(142)",00:29:41,00:05:47,02:29:23,00:02:15,01:50:06,
161,162,Cassiano Ricardo Moreira Pessoa (#1551),04:57:15,"NOR
																							|","40-44
(20)","Male 
													(143)",00:33:30,00:05:33,02:34:15,00:01:16,01:42:40,
162,163,Paul CROPP (#1343),04:57:17,"NZL
																							|","55-59
(4)","Male 
													(144)",00:29:47,00:05:23,02:39:15,00:01:36,01:41:14,
163,164,Geoff JORGENSEN (#689),04:57:18,"NZL
																							|","35-39
(20)","Male 
													(145)",00:33:15,00:06:02,02:37:47,00:01:27,01:38:43,
164,165,Natalie PRICE (#59),04:57:19,"GBR
																							|","30-34
(4)","Female 
													(20)",00:30:03,00:05:34,02:39:59,00:01:32,01:40:08,
165,166,Amanda ROBINSON (#457),04:57:28,"NZL
																							|","25-29
(3)","Female 
													(21)",00:31:58,00:05:19,02:32:43,00:01:17,01:46:09,
166,167,Tom LYSAGHT (#83),04:57:36,"NZL
																							|","25-29
(26)","Male 
													(146)",00:34:22,00:05:26,02:33:54,00:01:16,01:42:36,
167,168,Shaun MACDONALD (#314),04:57:38,"NZL
																							|","18-24
(15)","Male 
													(147)",00:39:19,00:04:47,02:33:49,00:01:41,01:38:00,
168,169,Elliott DRAYTON (#1207),04:57:43,"NZL
																							|","50-54
(15)","Male 
													(148)",00:31:30,00:05:28,02:33:48,00:01:37,01:45:18,
169,170,Luke BALDWIN (#363),04:57:51,"NZL
																							|","25-29
(27)","Male 
													(149)",00:30:05,00:06:23,02:45:35,00:02:15,01:33:31,
170,171,Todd SISSON (#68),04:57:52,"NZL
																							|","50-54
(16)","Male 
													(150)",00:36:50,00:05:25,02:33:06,00:01:20,01:41:08,
171,172,Tina COX (#983),04:57:57,"NZL
																							|","40-44
(2)","Female 
													(22)",00:28:15,00:05:02,02:43:22,00:01:55,01:39:21,
172,173,James WALSH (#67),04:58:05,"FJI
																							|","50-54
(17)","Male 
													(151)",00:29:08,00:06:01,02:30:57,00:01:34,01:50:23,
